import time: self [us] | cumulative | imported package
import time:       285 |        285 |     openai.types.video_edit_params
import time:       233 |        233 |     openai.types.video_list_params
import time:       258 |        258 |     openai.types.video_model_param
import time:       337 |        337 |           openai.types.shared_params.metadata
import time:       420 |        420 |           openai.types.shared_params.reasoning
import time:       297 |        297 |           openai.types.shared_params.chat_model
import time:       416 |        416 |             openai.types.shared_params.comparison_filter
import time:       354 |        770 |           openai.types.shared_params.compound_filter
import time:       308 |        308 |           openai.types.shared_params.responses_model
import time:       264 |        264 |           openai.types.shared_params.oauth_error_code
import time:       166 |        166 |           openai.types.shared_params.reasoning_effort
import time:       193 |        193 |             openai.types.shared_params.function_parameters
import time:       316 |        509 |           openai.types.shared_params.function_definition
import time:       252 |        252 |           openai.types.shared_params.response_format_text
import time:       271 |        271 |           openai.types.shared_params.custom_tool_input_format
import time:       209 |        209 |           openai.types.shared_params.response_format_json_object
import time:       331 |        331 |           openai.types.shared_params.response_format_json_schema
import time:       378 |       4506 |         openai.types.shared_params
import time:        17 |       4523 |       openai.types.shared_params.metadata
import time:       562 |        562 |             openai.types.graders.python_grader
import time:       843 |        843 |                       openai.types.responses.web_search_tool
import time:       487 |        487 |                       openai.types.responses.custom_tool
import time:       335 |        335 |                       openai.types.responses.computer_tool
import time:       471 |        471 |                       openai.types.responses.function_tool
import time:      2815 |       2815 |                       openai.types.responses.namespace_tool
import time:       318 |        318 |                       openai.types.responses.apply_patch_tool
import time:       818 |        818 |                       openai.types.responses.file_search_tool
import time:       379 |        379 |                       openai.types.responses.tool_search_tool
import time:       425 |        425 |                             openai.types.responses.inline_skill_source
import time:       333 |        757 |                           openai.types.responses.inline_skill
import time:       363 |        363 |                           openai.types.responses.skill_reference
import time:       261 |        261 |                           openai.types.responses.container_network_policy_disabled
import time:       304 |        304 |                             openai.types.responses.container_network_policy_domain_secret
import time:       324 |        627 |                           openai.types.responses.container_network_policy_allowlist
import time:       396 |       2403 |                         openai.types.responses.container_auto
import time:       294 |        294 |                           openai.types.responses.local_skill
import time:       362 |        655 |                         openai.types.responses.local_environment
import time:       347 |        347 |                         openai.types.responses.container_reference
import time:       280 |       3684 |                       openai.types.responses.function_shell_tool
import time:       664 |        664 |                       openai.types.responses.web_search_preview_tool
import time:       316 |        316 |                       openai.types.responses.computer_use_preview_tool
import time:      2457 |      13581 |                     openai.types.responses.tool
import time:       231 |        231 |                       openai.types.responses.response_error
import time:       369 |        369 |                       openai.types.responses.response_usage
import time:       282 |        282 |                         openai.types.responses.response_input_file
import time:       384 |        384 |                         openai.types.responses.response_input_text
import time:       255 |        255 |                         openai.types.responses.response_input_image
import time:       273 |       1192 |                       openai.types.responses.response_prompt
import time:       264 |        264 |                       openai.types.responses.response_status
import time:       525 |        525 |                       openai.types.responses.tool_choice_mcp
import time:       292 |        292 |                       openai.types.responses.tool_choice_shell
import time:       279 |        279 |                       openai.types.responses.tool_choice_types
import time:       200 |        200 |                       openai.types.responses.tool_choice_custom
import time:       184 |        184 |                             openai.types.responses.response_input_content
import time:       198 |        381 |                           openai.types.responses.response_input_message_content_list
import time:       403 |        784 |                         openai.types.responses.easy_input_message
import time:      1145 |       1145 |                           openai.types.responses.response_output_text
import time:       328 |        328 |                           openai.types.responses.response_output_refusal
import time:       430 |       1901 |                         openai.types.responses.response_output_message
import time:       614 |        614 |                         openai.types.responses.response_reasoning_item
import time:       404 |        404 |                         openai.types.responses.response_custom_tool_call
import time:      1500 |       1500 |                             openai.types.responses.computer_action
import time:       122 |       1622 |                           openai.types.responses.computer_action_list
import time:      1498 |       3120 |                         openai.types.responses.response_computer_tool_call
import time:       284 |        284 |                         openai.types.responses.response_function_tool_call
import time:       719 |        719 |                         openai.types.responses.response_function_web_search
import time:       385 |        385 |                         openai.types.responses.response_compaction_item_param
import time:       435 |        435 |                         openai.types.responses.response_file_search_tool_call
import time:       402 |        402 |                         openai.types.responses.response_custom_tool_call_output
import time:       623 |        623 |                         openai.types.responses.response_code_interpreter_tool_call
import time:       467 |        467 |                         openai.types.responses.response_tool_search_output_item_param
import time:       514 |        514 |                             openai.types.responses.response_input_file_content
import time:       233 |        233 |                             openai.types.responses.response_input_text_content
import time:       270 |        270 |                             openai.types.responses.response_input_image_content
import time:       203 |       1218 |                           openai.types.responses.response_function_call_output_item
import time:       197 |       1415 |                         openai.types.responses.response_function_call_output_item_list
import time:       434 |        434 |                         openai.types.responses.response_function_shell_call_output_content
import time:       255 |        255 |                         openai.types.responses.response_computer_tool_call_output_screenshot
import time:      3613 |      15850 |                       openai.types.responses.response_input_item
import time:       324 |        324 |                       openai.types.responses.tool_choice_allowed
import time:       167 |        167 |                       openai.types.responses.tool_choice_options
import time:       396 |        396 |                         openai.types.responses.response_compaction_item
import time:       299 |        299 |                         openai.types.responses.response_tool_search_call
import time:       620 |        620 |                         openai.types.responses.response_apply_patch_tool_call
import time:       304 |        304 |                         openai.types.responses.response_tool_search_output_item
import time:       206 |        206 |                           openai.types.responses.response_local_environment
import time:       265 |        265 |                           openai.types.responses.response_container_reference
import time:       591 |       1062 |                         openai.types.responses.response_function_shell_tool_call
import time:       360 |        360 |                         openai.types.responses.response_apply_patch_tool_call_output
import time:       297 |        297 |                         openai.types.responses.response_custom_tool_call_output_item
import time:       417 |        417 |                         openai.types.responses.response_computer_tool_call_output_item
import time:       299 |        299 |                         openai.types.responses.response_function_tool_call_output_item
import time:       589 |        589 |                         openai.types.responses.response_function_shell_tool_call_output
import time:      1484 |       6122 |                       openai.types.responses.response_output_item
import time:       365 |        365 |                           openai.types.responses.response_format_text_json_schema_config
import time:       141 |        506 |                         openai.types.responses.response_format_text_config
import time:       247 |        752 |                       openai.types.responses.response_text_config
import time:       343 |        343 |                       openai.types.responses.tool_choice_function
import time:       178 |        178 |                       openai.types.responses.tool_choice_apply_patch
import time:      1257 |      28337 |                     openai.types.responses.response
import time:       260 |        260 |                       openai.types.responses.web_search_tool_param
import time:       209 |        209 |                             openai.types.chat.chat_completion_audio
import time:       375 |        375 |                               openai.types.chat.chat_completion_message_custom_tool_call
import time:   1037147 |    1037147 |                               openai.types.chat.chat_completion_message_function_tool_call
import time:       543 |    1038064 |                             openai.types.chat.chat_completion_message_tool_call
import time:      2046 |    1040319 |                           openai.types.chat.chat_completion_message
import time:   1432508 |    1432508 |                           openai.types.chat.chat_completion_token_logprob
import time:      2532 |    2475358 |                         openai.types.chat.chat_completion
import time:    708938 |     708938 |                         openai.types.chat.chat_completion_role
import time:   1452882 |    1452882 |                         openai.types.chat.chat_completion_chunk
import time:    841270 |     841270 |                         openai.types.chat.completion_list_params
import time:   1556265 |    1556265 |                           openai.types.chat.parsed_function_tool_call
import time:   1234917 |    2791182 |                         openai.types.chat.parsed_chat_completion
import time:    802054 |     802054 |                         openai.types.chat.chat_completion_deleted
import time:   1252795 |    1252795 |                         openai.types.chat.chat_completion_modality
import time:   1165550 |    1165550 |                           openai.types.chat.chat_completion_audio_param
import time:   1053506 |    1053506 |                               openai.types.chat.chat_completion_content_part_text_param
import time:   1279500 |    2333005 |                             openai.types.chat.chat_completion_tool_message_param
import time:    979782 |     979782 |                                 openai.types.chat.chat_completion_content_part_image_param
import time:    797114 |     797114 |                                 openai.types.chat.chat_completion_content_part_input_audio_param
import time:    979519 |    2756415 |                               openai.types.chat.chat_completion_content_part_param
import time:    613455 |    3369869 |                             openai.types.chat.chat_completion_user_message_param
import time:   1561098 |    1561098 |                             openai.types.chat.chat_completion_system_message_param
import time:   1453140 |    1453140 |                             openai.types.chat.chat_completion_function_message_param
import time:    963671 |     963671 |                               openai.types.chat.chat_completion_content_part_refusal_param
import time:   1294153 |    1294153 |                                 openai.types.chat.chat_completion_message_custom_tool_call_param
import time:   1471194 |    1471194 |                                 openai.types.chat.chat_completion_message_function_tool_call_param
import time:    761895 |    3527241 |                               openai.types.chat.chat_completion_message_tool_call_union_param
import time:   1013682 |    5504593 |                             openai.types.chat.chat_completion_assistant_message_param
import time:    873434 |     873434 |                             openai.types.chat.chat_completion_developer_message_param
import time:    805137 |   15900275 |                           openai.types.chat.chat_completion_message_param
import time:    846773 |     846773 |                             openai.types.chat.chat_completion_custom_tool_param
import time:   1111584 |    1111584 |                             openai.types.chat.chat_completion_function_tool_param
import time:    998600 |    2956955 |                           openai.types.chat.chat_completion_tool_union_param
import time:    755686 |     755686 |                           openai.types.chat.chat_completion_stream_options_param
import time:   1509640 |    1509640 |                           openai.types.chat.chat_completion_prediction_content_param
import time:   1244546 |    1244546 |                             openai.types.chat.chat_completion_named_tool_choice_param
import time:   1391987 |    1391987 |                               openai.types.chat.chat_completion_allowed_tools_param
import time:    983137 |    2375123 |                             openai.types.chat.chat_completion_allowed_tool_choice_param
import time:   1355430 |    1355430 |                             openai.types.chat.chat_completion_named_tool_choice_custom_param
import time:   1020301 |    5995400 |                           openai.types.chat.chat_completion_tool_choice_option_param
import time:    977963 |     977963 |                           openai.types.chat.chat_completion_function_call_option_param
import time:   1270906 |   30532371 |                         openai.types.chat.completion_create_params
import time:   1023981 |    1023981 |                         openai.types.chat.completion_update_params
import time:    736469 |     736469 |                         openai.types.chat.chat_completion_tool_param
import time:    997651 |     997651 |                         openai.types.chat.chat_completion_function_tool
import time:   1150627 |    1150627 |                           openai.types.chat.chat_completion_content_part_text
import time:    962019 |     962019 |                           openai.types.chat.chat_completion_content_part_image
import time:   1119697 |    3232342 |                         openai.types.chat.chat_completion_store_message
import time:   1055963 |    1055963 |                         openai.types.chat.chat_completion_reasoning_effort
import time:   1114448 |    1114448 |                         openai.types.chat.chat_completion_message_tool_call_param
import time:      1444 |   49019139 |                       openai.types.chat
import time:    857995 |     857995 |                       openai.types.responses.custom_tool_param
import time:    885867 |     885867 |                       openai.types.responses.computer_tool_param
import time:    656516 |     656516 |                       openai.types.responses.function_tool_param
import time:   1116706 |    1116706 |                       openai.types.responses.namespace_tool_param
import time:    839365 |     839365 |                       openai.types.responses.apply_patch_tool_param
import time:   1003605 |    1003605 |                       openai.types.responses.file_search_tool_param
import time:    899175 |     899175 |                       openai.types.responses.tool_search_tool_param
import time:   1069210 |    1069210 |                             openai.types.responses.inline_skill_source_param
import time:   1328478 |    2397688 |                           openai.types.responses.inline_skill_param
import time:    728631 |     728631 |                           openai.types.responses.skill_reference_param
import time:    604506 |     604506 |                           openai.types.responses.container_network_policy_disabled_param
import time:    896407 |     896407 |                             openai.types.responses.container_network_policy_domain_secret_param
import time:   1062583 |    1958989 |                           openai.types.responses.container_network_policy_allowlist_param
import time:   1153550 |    6843362 |                         openai.types.responses.container_auto_param
import time:   1016284 |    1016284 |                           openai.types.responses.local_skill_param
import time:    783433 |    1799717 |                         openai.types.responses.local_environment_param
import time:    845339 |     845339 |                         openai.types.responses.container_reference_param
import time:    885519 |   10373936 |                       openai.types.responses.function_shell_tool_param
import time:    875973 |     875973 |                       openai.types.responses.web_search_preview_tool_param
import time:    890219 |     890219 |                       openai.types.responses.computer_use_preview_tool_param
import time:      4292 |   67423045 |                     openai.types.responses.tool_param
import time:    885279 |     885279 |                       openai.types.responses.response_input_message_item
import time:   1000164 |    1000164 |                       openai.types.responses.response_custom_tool_call_item
import time:    875403 |     875403 |                       openai.types.responses.response_function_tool_call_item
import time:    955635 |    3716479 |                     openai.types.responses.response_item
import time:   1004127 |    1004127 |                     openai.types.responses.response_input
import time:   1064899 |    1064899 |                     openai.types.responses.parsed_response
import time:   1036588 |    1036588 |                     openai.types.responses.compacted_response
import time:    897525 |     897525 |                     openai.types.responses.response_item_list
import time:    714021 |     714021 |                     openai.types.responses.response_includable
import time:   1268124 |    1268124 |                     openai.types.responses.response_error_event
import time:    886557 |     886557 |                     openai.types.responses.response_input_audio
import time:   1044615 |    1044615 |                           openai.types.responses.response_input_file_param
import time:    956353 |     956353 |                           openai.types.responses.response_input_text_param
import time:    853201 |     853201 |                           openai.types.responses.response_input_image_param
import time:    911560 |    3765728 |                         openai.types.responses.response_input_message_content_list_param
import time:   1041392 |    4807120 |                       openai.types.responses.easy_input_message_param
import time:    857310 |     857310 |                         openai.types.responses.response_output_text_param
import time:    897027 |     897027 |                         openai.types.responses.response_output_refusal_param
import time:    896948 |    2651284 |                       openai.types.responses.response_output_message_param
import time:    831807 |     831807 |                       openai.types.responses.response_reasoning_item_param
import time:    977247 |     977247 |                       openai.types.responses.response_custom_tool_call_param
import time:   1490499 |    1490499 |                         openai.types.responses.computer_action_list_param
import time:    805644 |    2296143 |                       openai.types.responses.response_computer_tool_call_param
import time:   1494401 |    1494401 |                       openai.types.responses.response_function_tool_call_param
import time:    736028 |     736028 |                       openai.types.responses.response_function_web_search_param
import time:   1053682 |    1053682 |                       openai.types.responses.response_compaction_item_param_param
import time:   1088194 |    1088194 |                       openai.types.responses.response_file_search_tool_call_param
import time:    982648 |     982648 |                       openai.types.responses.response_custom_tool_call_output_param
import time:    877329 |     877329 |                       openai.types.responses.response_code_interpreter_tool_call_param
import time:    824457 |     824457 |                       openai.types.responses.response_tool_search_output_item_param_param
import time:    651586 |     651586 |                         openai.types.responses.response_input_file_content_param
import time:   1104382 |    1104382 |                         openai.types.responses.response_input_text_content_param
import time:   1223029 |    1223029 |                         openai.types.responses.response_input_image_content_param
import time:    863500 |    3842495 |                       openai.types.responses.response_function_call_output_item_list_param
import time:   1120365 |    1120365 |                       openai.types.responses.response_function_shell_call_output_content_param
import time:    769120 |     769120 |                       openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:   1098706 |   25451019 |                     openai.types.responses.response_input_param
import time:    782107 |     782107 |                     openai.types.responses.computer_action_param
import time:    811045 |     811045 |                     openai.types.responses.response_failed_event
import time:    751160 |     751160 |                     openai.types.responses.response_prompt_param
import time:   1079910 |    1079910 |                     openai.types.responses.response_queued_event
import time:    845661 |     845661 |                       openai.types.responses.response_created_event
import time:    858870 |     858870 |                       openai.types.responses.response_completed_event
import time:    882166 |     882166 |                       openai.types.responses.response_text_done_event
import time:    990329 |     990329 |                       openai.types.responses.response_audio_done_event
import time:    890594 |     890594 |                       openai.types.responses.response_incomplete_event
import time:    799091 |     799091 |                       openai.types.responses.response_text_delta_event
import time:    909812 |     909812 |                       openai.types.responses.response_audio_delta_event
import time:    826712 |     826712 |                       openai.types.responses.response_in_progress_event
import time:    833511 |     833511 |                       openai.types.responses.response_refusal_done_event
import time:    819849 |     819849 |                       openai.types.responses.response_refusal_delta_event
import time:    975623 |     975623 |                       openai.types.responses.response_mcp_call_failed_event
import time:    836380 |     836380 |                       openai.types.responses.response_output_item_done_event
import time:    859887 |     859887 |                       openai.types.responses.response_content_part_done_event
import time:    867706 |     867706 |                       openai.types.responses.response_output_item_added_event
import time:    840480 |     840480 |                       openai.types.responses.response_content_part_added_event
import time:    830024 |     830024 |                       openai.types.responses.response_mcp_call_completed_event
import time:    830999 |     830999 |                       openai.types.responses.response_reasoning_text_done_event
import time:    826353 |     826353 |                       openai.types.responses.response_mcp_call_in_progress_event
import time:    972787 |     972787 |                       openai.types.responses.response_reasoning_text_delta_event
import time:    802163 |     802163 |                       openai.types.responses.response_audio_transcript_done_event
import time:    823663 |     823663 |                       openai.types.responses.response_mcp_list_tools_failed_event
import time:    895137 |     895137 |                       openai.types.responses.response_audio_transcript_delta_event
import time:    907927 |     907927 |                       openai.types.responses.response_mcp_call_arguments_done_event
import time:    952795 |     952795 |                       openai.types.responses.response_image_gen_call_completed_event
import time:    839998 |     839998 |                       openai.types.responses.response_mcp_call_arguments_delta_event
import time:    889220 |     889220 |                       openai.types.responses.response_mcp_list_tools_completed_event
import time:    849095 |     849095 |                       openai.types.responses.response_image_gen_call_generating_event
import time:    824458 |     824458 |                       openai.types.responses.response_web_search_call_completed_event
import time:   2387648 |    2387648 |                       openai.types.responses.response_web_search_call_searching_event
import time:    988172 |     988172 |                       openai.types.responses.response_file_search_call_completed_event
import time:    910047 |     910047 |                       openai.types.responses.response_file_search_call_searching_event
import time:   1650510 |    1650510 |                       openai.types.responses.response_image_gen_call_in_progress_event
import time:   2027431 |    2027431 |                       openai.types.responses.response_mcp_list_tools_in_progress_event
import time:   1256137 |    1256137 |                       openai.types.responses.response_custom_tool_call_input_done_event
import time:    914869 |     914869 |                       openai.types.responses.response_reasoning_summary_part_done_event
import time:    979468 |     979468 |                       openai.types.responses.response_reasoning_summary_text_done_event
import time:   1199185 |    1199185 |                       openai.types.responses.response_web_search_call_in_progress_event
import time:    766595 |     766595 |                       openai.types.responses.response_custom_tool_call_input_delta_event
import time:    757999 |     757999 |                       openai.types.responses.response_file_search_call_in_progress_event
import time:    833698 |     833698 |                       openai.types.responses.response_function_call_arguments_done_event
import time:    782959 |     782959 |                       openai.types.responses.response_image_gen_call_partial_image_event
import time:    820442 |     820442 |                       openai.types.responses.response_output_text_annotation_added_event
import time:   1088849 |    1088849 |                       openai.types.responses.response_reasoning_summary_part_added_event
import time:    848648 |     848648 |                       openai.types.responses.response_reasoning_summary_text_delta_event
import time:    748805 |     748805 |                       openai.types.responses.response_function_call_arguments_delta_event
import time:    912935 |     912935 |                       openai.types.responses.response_code_interpreter_call_code_done_event
import time:    755021 |     755021 |                       openai.types.responses.response_code_interpreter_call_completed_event
import time:    800161 |     800161 |                       openai.types.responses.response_code_interpreter_call_code_delta_event
import time:    805618 |     805618 |                       openai.types.responses.response_code_interpreter_call_in_progress_event
import time:    789590 |     789590 |                       openai.types.responses.response_code_interpreter_call_interpreting_event
import time:    823172 |   48129225 |                     openai.types.responses.response_stream_event
import time:    785075 |     785075 |                     openai.types.responses.tool_choice_mcp_param
import time:    855579 |     855579 |                     openai.types.responses.input_item_list_params
import time:    767979 |     767979 |                       openai.types.responses.tool_choice_shell_param
import time:    788705 |     788705 |                       openai.types.responses.tool_choice_types_param
import time:    771125 |     771125 |                       openai.types.responses.tool_choice_custom_param
import time:    735794 |     735794 |                       openai.types.responses.tool_choice_allowed_param
import time:    959551 |     959551 |                           openai.types.responses.response_format_text_json_schema_config_param
import time:   1022866 |    1982416 |                         openai.types.responses.response_format_text_config_param
import time:   1098619 |    3081035 |                       openai.types.responses.response_text_config_param
import time:    573180 |     573180 |                       openai.types.responses.tool_choice_function_param
import time:    905876 |     905876 |                       openai.types.responses.tool_choice_apply_patch_param
import time:    771673 |     771673 |                       openai.types.responses.response_conversation_param_param
import time:    971235 |    9366597 |                     openai.types.responses.response_create_params
import time:    781387 |     781387 |                       openai.types.responses.response_conversation_param
import time:    769283 |    1550669 |                     openai.types.responses.responses_client_event
import time:    618424 |     618424 |                     openai.types.responses.responses_server_event
import time:    893908 |     893908 |                       openai.types.responses.response_input_item_param
import time:    928848 |    1822755 |                     openai.types.responses.response_compact_params
import time:    798556 |     798556 |                     openai.types.responses.input_token_count_params
import time:    787870 |     787870 |                     openai.types.responses.response_retrieve_params
import time:    798489 |     798489 |                     openai.types.responses.input_token_count_response
import time:    834485 |     834485 |                     openai.types.responses.response_input_audio_param
import time:    822026 |     822026 |                     openai.types.responses.response_input_content_param
import time:    858219 |     858219 |                     openai.types.responses.responses_client_event_param
import time:    875093 |     875093 |                     openai.types.responses.response_function_call_output_item_param
import time:      3292 |  175834863 |                   openai.types.responses
import time:        66 |  175834929 |                 openai.types.responses.response_input_text
import time:       694 |  175835623 |               openai.types.graders.grader_inputs
import time:      1005 |  175836628 |             openai.types.graders.label_model_grader
import time:    825988 |     825988 |             openai.types.graders.score_model_grader
import time:    870453 |     870453 |             openai.types.graders.string_check_grader
import time:    819234 |     819234 |             openai.types.graders.text_similarity_grader
import time:       719 |  178353581 |           openai.types.graders.multi_grader
import time:    970179 |     970179 |             openai.types.graders.python_grader_param
import time:    927453 |     927453 |               openai.types.graders.grader_inputs_param
import time:    783695 |    1711147 |             openai.types.graders.label_model_grader_param
import time:    822582 |     822582 |             openai.types.graders.score_model_grader_param
import time:    752207 |     752207 |             openai.types.graders.string_check_grader_param
import time:    792208 |     792208 |             openai.types.graders.text_similarity_grader_param
import time:    634826 |    5683147 |           openai.types.graders.multi_grader_param
import time:       442 |  184037169 |         openai.types.graders
import time:       136 |  184037305 |       openai.types.graders.grader_inputs_param
import time:      2486 |  184044313 |     openai.types.eval_create_params
import time:    927461 |     927461 |       openai.types.eval_custom_data_source_config
import time:    882156 |     882156 |       openai.types.eval_stored_completions_data_source_config
import time:    509693 |    2319308 |     openai.types.eval_list_response
import time:   1539207 |    1539207 |     openai.types.eval_update_params
import time:    865910 |     865910 |     openai.types.file_create_params
import time:    904462 |     904462 |     openai.types.video_remix_params
import time:   1085790 |    1085790 |     openai.types.batch_create_params
import time:   1035390 |    1035390 |     openai.types.skill_create_params
import time:    843293 |     843293 |     openai.types.skill_update_params
import time:    814928 |     814928 |       openai.types.image_input_reference_param
import time:    761671 |    1576599 |     openai.types.video_create_params
import time:    837367 |     837367 |     openai.types.video_extend_params
import time:    891989 |     891989 |     openai.types.eval_create_response
import time:    746164 |     746164 |     openai.types.eval_delete_response
import time:    750322 |     750322 |     openai.types.eval_update_response
import time:    807452 |     807452 |     openai.types.upload_create_params
import time:    821062 |     821062 |     openai.types.vector_store_deleted
import time:    675058 |     675058 |     openai.types.audio_response_format
import time:   1040824 |    1040824 |     openai.types.container_list_params
import time:   1089480 |    1089480 |     openai.types.image_generate_params
import time:    812674 |     812674 |     openai.types.video_delete_response
import time:    887356 |     887356 |     openai.types.eval_retrieve_response
import time:    758054 |     758054 |       openai.types.other_file_chunking_strategy_object
import time:    744068 |     744068 |         openai.types.static_file_chunking_strategy
import time:    829062 |    1573129 |       openai.types.static_file_chunking_strategy_object
import time:    804969 |    3136151 |     openai.types.file_chunking_strategy
import time:    798814 |     798814 |       openai.types.image_gen_completed_event
import time:    840419 |     840419 |       openai.types.image_gen_partial_image_event
import time:    848185 |    2487417 |     openai.types.image_gen_stream_event
import time:    846622 |     846622 |     openai.types.upload_complete_params
import time:    867710 |     867710 |     openai.types.websocket_reconnection
import time:    802088 |     802088 |     openai.types.container_create_params
import time:    760919 |     760919 |     openai.types.container_list_response
import time:    783345 |     783345 |     openai.types.embedding_create_params
import time:    787738 |     787738 |       openai.types.image_edit_completed_event
import time:    761398 |     761398 |       openai.types.image_edit_partial_image_event
import time:    831342 |    2380477 |     openai.types.image_edit_stream_event
import time:    834929 |     834929 |     openai.types.completion_create_params
import time:    600712 |     600712 |         openai.types.moderation_text_input_param
import time:    998456 |     998456 |         openai.types.moderation_image_url_input_param
import time:    753548 |    2352714 |       openai.types.moderation_multi_modal_input_param
import time:    799968 |    3152682 |     openai.types.moderation_create_params
import time:    774955 |     774955 |     openai.types.vector_store_list_params
import time:    739109 |     739109 |     openai.types.container_create_response
import time:    812041 |     812041 |     openai.types.create_embedding_response
import time:    773053 |     773053 |     openai.types.moderation_create_response
import time:   1072085 |    1072085 |         openai.types.auto_file_chunking_strategy_param
import time:    641619 |     641619 |           openai.types.static_file_chunking_strategy_param
import time:    799249 |    1440867 |         openai.types.static_file_chunking_strategy_object_param
import time:    622103 |    3135054 |       openai.types.file_chunking_strategy_param
import time:    927366 |    4062419 |     openai.types.vector_store_create_params
import time:   1006906 |    1006906 |     openai.types.vector_store_search_params
import time:   1078796 |    1078796 |     openai.types.vector_store_update_params
import time:    797500 |     797500 |     openai.types.container_retrieve_response
import time:    751115 |     751115 |     openai.types.vector_store_search_response
import time:    815538 |     815538 |     openai.types.video_get_character_response
import time:    854037 |     854037 |     openai.types.websocket_connection_options
import time:    744501 |     744501 |     openai.types.image_create_variation_params
import time:    798296 |     798296 |     openai.types.video_create_character_params
import time:    763679 |     763679 |     openai.types.video_download_content_params
import time:    735747 |     735747 |     openai.types.video_create_character_response
import time:      4501 |  235261872 |   openai.types
import time:    743621 |     743621 |     openai._exceptions
import time:    774780 |     774780 |     openai._qs
import time:    978487 |     978487 |       openai.auth._workload
import time:    779941 |    1758427 |     openai.auth
import time:    775228 |     775228 |     openai._version
import time:    768327 |     768327 |     openai._streaming
import time:      4258 |       4258 |           argparse
import time:      1991 |       1991 |           shlex
import time:   1064798 |    1071046 |         distro.distro
import time:   1063574 |    2134620 |       distro
import time:    834853 |     834853 |       openai._response
import time:    886887 |     886887 |       openai._utils._json
import time:    680119 |     680119 |       openai._legacy_response
import time:       403 |        403 |       httpx_aiohttp
import time:    811157 |    5348037 |     openai._base_client
import time:    806752 |   10975169 |   openai._client
import time:    967156 |     967156 |   openai._utils._resources_proxy
import time:    590853 |     590853 |       openai.lib._pydantic
import time:    890447 |    1481300 |     openai.lib._tools
import time:    825111 |     825111 |       openai.lib._parsing._completions
import time:   1083796 |    1908906 |     openai.lib._parsing
import time:    770901 |    4161106 |   openai.lib
import time:    840800 |     840800 |   openai.lib.azure
import time:    747431 |     747431 |   openai.version
import time:    757354 |     757354 |   openai.lib._old_api
import time:    972670 |     972670 |         openai.types.beta.thread
import time:    925997 |     925997 |             openai.types.beta.function_tool
import time:    873078 |     873078 |             openai.types.beta.file_search_tool
import time:    812298 |     812298 |             openai.types.beta.code_interpreter_tool
import time:    824635 |    3436006 |           openai.types.beta.assistant_tool
import time:    952919 |     952919 |           openai.types.beta.assistant_response_format_option
import time:    985973 |    5374896 |         openai.types.beta.assistant
import time:    603533 |     603533 |         openai.types.beta.thread_deleted
import time:    965122 |     965122 |         openai.types.beta.chatkit_workflow
import time:    766970 |     766970 |         openai.types.beta.assistant_deleted
import time:    805940 |     805940 |         openai.types.beta.function_tool_param
import time:    728483 |     728483 |           openai.types.beta.file_search_tool_param
import time:    857024 |     857024 |           openai.types.beta.code_interpreter_tool_param
import time:    827161 |    2412667 |         openai.types.beta.assistant_tool_param
import time:    612141 |     612141 |                 openai.types.beta.threads.run_status
import time:    859685 |     859685 |                     openai.types.beta.assistant_tool_choice_function
import time:    857726 |    1717411 |                   openai.types.beta.assistant_tool_choice
import time:    948360 |    2665770 |                 openai.types.beta.assistant_tool_choice_option
import time:    823027 |     823027 |                 openai.types.beta.threads.required_action_function_tool_call
import time:    841798 |    4942735 |               openai.types.beta.threads.run
import time:    764213 |     764213 |                   openai.types.beta.threads.file_path_annotation
import time:    813368 |     813368 |                   openai.types.beta.threads.file_citation_annotation
import time:    995938 |    2573518 |                 openai.types.beta.threads.annotation
import time:    657899 |    3231416 |               openai.types.beta.threads.text
import time:    889136 |     889136 |                   openai.types.beta.threads.text_content_block
import time:    872349 |     872349 |                   openai.types.beta.threads.refusal_content_block
import time:   1041889 |    1041889 |                     openai.types.beta.threads.image_url
import time:    840050 |    1881939 |                   openai.types.beta.threads.image_url_content_block
import time:   1013311 |    1013311 |                     openai.types.beta.threads.image_file
import time:    597530 |    1610841 |                   openai.types.beta.threads.image_file_content_block
import time:    795856 |    6050119 |                 openai.types.beta.threads.message_content
import time:    829791 |    6879909 |               openai.types.beta.threads.message
import time:   1073631 |    1073631 |                   openai.types.beta.threads.file_path_delta_annotation
import time:    793314 |     793314 |                   openai.types.beta.threads.file_citation_delta_annotation
import time:    631347 |    2498291 |                 openai.types.beta.threads.annotation_delta
import time:    837113 |    3335404 |               openai.types.beta.threads.text_delta
import time:    810064 |     810064 |                   openai.types.beta.threads.text_delta_block
import time:   1032616 |    1032616 |                   openai.types.beta.threads.refusal_delta_block
import time:    801816 |     801816 |                     openai.types.beta.threads.image_url_delta
import time:    804026 |    1605842 |                   openai.types.beta.threads.image_url_delta_block
import time:    838374 |     838374 |                     openai.types.beta.threads.image_file_delta
import time:    797164 |    1635537 |                   openai.types.beta.threads.image_file_delta_block
import time:    636191 |    5720248 |                 openai.types.beta.threads.message_content_delta
import time:    992699 |    6712946 |               openai.types.beta.threads.message_delta
import time:    661614 |     661614 |               openai.types.beta.threads.image_url_param
import time:   1152651 |    1152651 |               openai.types.beta.threads.message_deleted
import time:    813601 |     813601 |               openai.types.beta.threads.run_list_params
import time:    848198 |     848198 |               openai.types.beta.threads.image_file_param
